0.107,0.1531,0.0461,0.0993,0.289,0.1898,0.1247,0.3843,0.2596,0.1021,0.3701,0.268,0.1035,0.3171,0.2136,0.0877,0.1921,0.1043,0.0926,0.2178,0.1252,0.0825,0.2026,0.1202,0.0655
0.1069,0.1924,0.0855,0.0965,0.258,0.1615,0.1038,0.3122,0.2084,0.1092,0.3687,0.2595,0.115,0.2187,0.1037,0.089,0.2174,0.1284,0.1068,0.2336,0.1269,0.1023,0.1862,0.0839,0.0763
0.0873,0.2081,0.1209,0.1032,0.2431,0.1399,0.1319,0.3307,0.1989,0.1115,0.3508,0.2392,0.0936,0.2755,0.1819,0.0755,0.1899,0.1144,0.112,0.2155,0.1035,0.06,0.1648,0.1048,0.0879
0.1098,0.2566,0.1467,0.0911,0.3324,0.2412,0.1223,0.3484,0.2261,0.0894,0.4176,0.3282,0.1183,0.2641,0.1458,0.0822,0.222,0.1398,0.0782,0.1744,0.0963,0.0643,0.1592,0.0949,0.1078
0.1182,0.207,0.0887,0.1017,0.2577,0.156,0.1139,0.3331,0.2192,0.1002,0.4123,0.3121,0.0858,0.2977,0.2119,0.0844,0.2072,0.1228,0.0934,0.3286,0.2352,0.0723,0.1694,0.0971,0.0798
0.0799,0.1519,0.072,0.0959,0.288,0.192,0.088,0.2722,0.1841,0.0959,0.3518,0.256,0.096,0.2961,0.2001,0.0719,0.2081,0.1361,0.0719,0.2559,0.1841,0.072,0.1999,0.1279,0.0721
0.08,0.176,0.0961,0.1039,0.264,0.1601,0.0959,0.336,0.24,0.0879,0.3439,0.256,0.104,0.2401,0.1361,0.072,0.2,0.128,0.072,0.2561,0.1841,0.0879,0.2079,0.12,0.0801
0.088,0.168,0.08,0.0799,0.2561,0.1761,0.0959,0.2798,0.184,0.088,0.3446,0.2566,0.0954,0.2876,0.1922,0.0638,0.1838,0.12,0.072,0.2002,0.1282,0.0799,0.1759,0.096,0.088
0.08,0.192,0.1121,0.1039,0.2879,0.184,0.112,0.2961,0.1841,0.0959,0.3519,0.256,0.128,0.2801,0.1521,0.072,0.184,0.112,0.0723,0.216,0.1437,0.0719,0.1919,0.12,0.088
0.0716,0.2004,0.1288,0.0959,0.2965,0.2005,0.0955,0.288,0.1925,0.103,0.3361,0.2331,0.1033,0.2875,0.1842,0.0877,0.2086,0.1209,0.0788,0.1753,0.0964,0.0872,0.1992,0.112,0.0961
0.0908,0.3106,0.2198,0.0898,0.2554,0.1656,0.1119,0.3642,0.2523,0.0947,0.3093,0.2146,0.1088,0.2428,0.1339,0.0872,0.1994,0.1122,0.0887,0.2146,0.1259,0.0903,0.1829,0.0927,0.0751
0.1031,0.1784,0.0752,0.0843,0.3209,0.2367,0.1012,0.3505,0.2493,0.1104,0.3743,0.2639,0.1102,0.2409,0.1306,0.0724,0.2058,0.1334,0.1023,0.1687,0.0664,0.0764,0.1762,0.0998,0.0574
0.096,0.1447,0.0487,0.0799,0.2478,0.1679,0.088,0.3117,0.2237,0.0798,0.3201,0.2403,0.0798,0.2167,0.1369,0.079,0.1603,0.0813,0.0707,0.1352,0.0645,0.0882,0.1926,0.1044,0.0794
0.0871,0.1831,0.096,0.064,0.2332,0.1693,0.063,0.2639,0.2009,0.0871,0.3039,0.2169,0.087,0.256,0.169,0.0709,0.207,0.1361,0.064,0.176,0.1121,0.0879,0.1926,0.1047,0.0713
0.079,0.143,0.064,0.08,0.2483,0.1683,0.0646,0.2648,0.2002,0.0791,0.2961,0.217,0.079,0.2389,0.1599,0.0888,0.2091,0.1204,0.0795,0.1519,0.0725,0.0794,0.1998,0.1203,0.0711
0.0802,0.1695,0.0892,0.071,0.2389,0.1679,0.0555,0.232,0.1764,0.0804,0.2963,0.2158,0.0802,0.2395,0.1593,0.0721,0.2007,0.1286,0.0879,0.1921,0.1043,0.0714,0.1917,0.1203,0.0715
